"","Price","Fuel","Engine","Horsepower","Power_Nm","Acceleration","Consumption","CO2","Autonomy_klm","Taxation","Air_condition","Clima","Back_electric_windows","Heated_mirrors"
"268",16990," Gasoline",1333,150,250,10.4,6,138,833,166,"YES","NO","YES","YES"
"269",17100," Gasoline",1333,130,240,11.1,6,138,833,166,"NO","YES","YES","YES"
"270",17340," Gasoline",1333,130,240,11.1,6.4,145,781,268,"YES","NO","YES","YES"
"271",18490," Gasoline",1333,150,250,10.4,6,138,833,166,"NO","YES","YES","YES"
"272",19440," Gasoline",1333,150,250,10.6,6.4,145,781,268,"YES","NO","YES","YES"
"273",19640," Gasoline",1333,130,240,11.1,6.4,145,781,268,"NO","YES","YES","YES"
"274",20440," Gasoline",1333,150,250,10.6,6.4,145,781,268,"NO","YES","YES","YES"
"275",17330," Diesel",1461,115,260,10.5,4.4,115,1136,113,"YES","NO","YES","YES"
"276",17490," Diesel",1461,115,260,10.4,4.7,123,1064,148,"YES","NO","NO","NO"
"277",19780," Diesel",1461,115,260,10.4,4.7,123,1064,148,"YES","NO","YES","YES"
"278",20580," Diesel",1461,115,260,10.5,4.4,115,1136,113,"NO","YES","YES","YES"
"279",14480," Gasoline",1598,115,156,11.9,6.5,149,769,276,"YES","NO","NO","NO"
"280",15950," Gasoline",1598,115,156,11.9,6.5,149,769,276,"YES","NO","YES","YES"
"281",9980," Gasoline",998,75,97,16.7,5.2,117,962,115,"YES","NO","NO","NO"
"282",10780," Gasoline",998,75,97,16.7,5.2,117,962,115,"YES","NO","YES","YES"
"283",11590," Gasoline",898,90,135,11.1,5.4,124,926,149,"YES","NO","NO","NO"
"284",12980," Gasoline",898,90,135,11.1,5.4,124,926,149,"YES","NO","YES","YES"
"285",10650," Gasoline",998,75,97,16.7,5.8,117,862,115,"YES","NO","NO","NO"
"286",13980," Diesel",1461,90,220,11.8,4,105,1250,103,"YES","NO","NO","NO"
"287",14580," Diesel",1461,90,220,11.8,4,105,1250,103,"YES","NO","YES","YES"
"288",15465," Gasoline",1199,82,118,12.3,4.3,99,1163,89,"YES","NO","NO","YES"
"289",15568," Gasoline",1199,82,118,12.3,4.3,99,1163,89,"NO","YES","NO","YES"
"290",16354," Gasoline",1199,82,118,14.4,4.2,97,1190,87,"NO","YES","NO","YES"
"291",17512," Diesel",1560,100,254,10.8,3,79,1500,0,"NO","YES","NO","YES"
"292",18974," Diesel",1560,120,270,9.3,3.6,94,1250,85,"NO","YES","NO","YES"
"295",21800," Gasoline",1199,100,205,10.9,5.4,105,815,103,"YES","NO","YES","YES"
"296",24900," Gasoline",1199,100,205,10.9,5.4,105,815,103,"NO","YES","YES","YES"
"297",26850," Gasoline",1199,130,230,9.2,6,109,733,107,"NO","YES","YES","YES"
"298",30650," Gasoline",1199,130,230,9.2,6,109,733,107,"NO","YES","YES","YES"
"299",32850," Gasoline",1199,155,240,8.2,6.2,120,710,118,"NO","YES","YES","YES"
